id,group,capability,surfaces,priority,release,our_requirement,binance_analog,binance_sources,okx_analog,okx_sources,evidence_level,notes
FX-012,market_discovery,Market overview and movers,"mobile, web",must,MVP,"Provide trending pairs, top gainers/losers, volume leaders, and asset categories.",Needed to match Binance’s broad market discovery behavior.,binance_exchange_home,Needed to match OKX’s crypto prices / market moves discovery behavior.,"okx_download, okx_home",mixed,
FX-013,market_discovery,Announcements center,"mobile, web, desktop",must,MVP,"Show listing, delisting, deposit/withdraw, campaign, and policy announcements in-app.",Binance support and announcement surfaces are publicly present.,binance_download,"OKX announcements center includes listings, delistings, trading updates, P2P, API, and deposit/withdrawal suspension categories.",turn367930search18,mixed,
FX-014,market_discovery,Advanced charting inside the terminal,"mobile, web, desktop",must,MVP,"Embed advanced charts with indicators, drawings, multiple timeframes, and synced symbol state.",Binance offers TradingView tools inside Classic/Advanced/Full-Screen interfaces.,"binance_trade_website_tradingview, binance_trade_external_tradingview",OKX documents trade with TradingView and mobile TradingView integration in prior announcement/help.,"okx_trade_with_tradingview, turn737735search18",verified_public_docs,
FX-015,market_discovery,External TradingView broker connectivity,web,should,GA-1,Let users route eligible spot/derivatives trades from a TradingView-connected interface if business wants parity.,Binance docs explain connecting Binance to TradingView for Spot and signal workflows.,"binance_trade_external_tradingview, binance_signal_trading",OKX docs explain trading Spot and Derivatives with TradingView and shared trading-account assets.,okx_trade_with_tradingview,verified_public_docs,
FX-016,market_discovery,Price alerts,"mobile, web, desktop",should,GA-1,"Support price, indicator, funding, liquidation-distance, and bot-alert notifications.",Common exchange/mobile parity target; not directly verified in researched Binance docs.,,Common exchange/mobile parity target; not directly verified in researched OKX docs.,,inferred_surface_parity,
FX-020,funding_assets,Buy crypto with fiat,"mobile, web",must,MVP,"Provide fiat onboarding entry points from Home, Assets, and empty-state experiences.",Binance home instructs users to buy/deposit crypto before trading.,binance_exchange_home,OKX home lists Buy crypto as a primary product.,"okx_home, okx_trade_with_tradingview",verified_public_docs,
FX-021,funding_assets,P2P marketplace,"mobile, web",should,GA-1,"Provide P2P marketplace, merchant profiles, payment methods, order chat status, and dispute entry points.",Binance P2P search result states 800+ payment methods and 100+ fiat currencies.,binance_p2p,OKX documents P2P profile management on web and app Pro mode.,"okx_p2p, okx_home",verified_public_docs,
FX-022,funding_assets,Instant convert,"mobile, web, desktop",must,MVP,"Provide simple asset conversion using quoted prices, outside the order-book experience.",Binance Convert supports Instant mode.,binance_convert,OKX home lists Convert as a primary product.,okx_home,verified_public_docs,
FX-023,funding_assets,Recurring buy / DCA,"mobile, web",should,GA-1,Provide recurring fixed-amount buying at scheduled intervals.,"Binance Convert Recurring supports hourly, daily, weekly, bi-weekly, and monthly schedules with zero additional fees.",binance_convert,OKX Trading Bots lists Recurring Buy and Trading bot mode documents recurring buy setup.,"okx_trading_bots, okx_bot_mode",verified_public_docs,
FX-024,funding_assets,On-chain deposits and withdrawals,"mobile, web, desktop",must,MVP,"Support deposit and withdrawal address workflows, histories, confirmations, and security checks.",Binance exchange home explicitly tells users to buy/deposit crypto before trading.,binance_exchange_home,OKX TradingView help documents deposits into trading/funding account and transfer behavior.,okx_trade_with_tradingview,verified_public_docs,
FX-025,funding_assets,Internal account transfer,"mobile, web, desktop",must,MVP,"Support instant transfer between funding, trading, margin, futures, portfolio, and bot-related balances where relevant.",Binance Portfolio Margin and Margin docs imply account-mode and wallet-specific flows.,"binance_portfolio_margin, binance_margin_orders",OKX TradingView help explicitly documents transfer from funding account to trading account; Unified Account changes transfer needs by mode.,"okx_trade_with_tradingview, okx_unified_account",verified_public_docs,
FX-026,funding_assets,Assets overview and transaction history,"mobile, web, desktop",must,MVP,"Provide balances, PnL, holdings composition, transaction history, and statements/export entry points.",Binance Earn and portfolio-related flows imply dashboard-based holdings review.,binance_earn,OKX spot mode and unified account docs expose trading-account asset terms and history behavior.,"okx_spot_mode, okx_unified_account",mixed,
FX-027,funding_assets,Subaccounts and delegated contexts,"web, desktop",should,GA-2,"Allow master/sub-account navigation, separate account-mode views, and delegated management screens.",Binance desktop page highlights multiple account switching; activity pages mention subaccounts in terms.,binance_desktop,OKX home lists managed trading sub-accounts; Unified Account docs cover sub-account account-mode setup.,"okx_home, okx_unified_account",mixed,
FX-028,funding_assets,Earn / staking / wealth products,"mobile, web",should,GA-1,"Expose passive-yield and earn products with clear availability, APR disclosures, and redemption flows.","Binance Earn documents Simple Earn, Advanced Earn, ETH Staking, SOL Staking, Dual Investment, and On-chain Yields.",binance_earn,OKX home lists Earn as a primary product.,okx_home,verified_public_docs,
FX-030,spot_margin,Spot trading order ticket,"mobile, web, desktop",must,MVP,"Support market and limit spot orders with strong precision handling, balance hints, fee hints, and open-order tracking.",Binance supports spot trading and TradingView-based spot order entry.,"binance_exchange_home, binance_trade_external_tradingview",OKX spot mode documents spot trading order entry and open orders/order history visibility.,okx_spot_mode,verified_public_docs,
FX-031,spot_margin,Margin trading order ticket,"mobile, web, desktop",must,GA-1,Support margin order entry with borrowing context and collateral/margin state visible at entry time.,Binance home lists Margin and margin docs detail order types and trade modes.,"binance_exchange_home, binance_margin_orders",OKX Unified Account and margin introduction cover margin trading across modes.,"okx_unified_account, turn737735search7",verified_public_docs,
FX-032,spot_margin,Auto-borrow / auto-repay,"mobile, web, desktop",should,GA-1,"Expose one-click auto-borrow and auto-repay where margin model supports it, with clear cost/risk messaging.","Binance Margin supports Normal, Auto-Borrow, and Auto-Repay modes.",binance_margin_orders,OKX borrow in spot mode supports one-click auto borrow/repay and manual borrow/repay.,okx_borrow_spot_mode,verified_public_docs,
FX-033,spot_margin,Cross vs isolated margin visibility,"mobile, web, desktop",must,GA-1,Make margin mode explicit and reversible only when allowed; show impact on risk and collateral.,Binance margin/futures docs and portfolio margin docs explicitly show mode switching constraints.,"binance_margin_orders, binance_portfolio_margin",OKX Unified Account docs describe isolated and cross variants across account modes.,okx_unified_account,verified_public_docs,
FX-034,spot_margin,Conditional orders on spot/margin,"mobile, web, desktop",must,GA-1,Support stop-limit / trigger-style conditional orders wherever product policy allows them.,Binance margin docs explicitly support stop-limit in margin; spot via TradingView supports stop limit.,"binance_margin_orders, binance_trade_external_tradingview","OKX basic order types and spot copy trading docs mention TP/SL, trailing TP/SL, and trigger order support.","okx_basic_order_types, okx_spot_copy_trading",verified_public_docs,
FX-035,spot_margin,"Order book, recent trades, depth","mobile, web, desktop",must,MVP,"Show order book, trade tape, and depth views with rapid updates and graceful degradation.",Implicit in Binance advanced trading and TradingView-enabled trade interfaces.,binance_trade_website_tradingview,Implicit in OKX trade surfaces and explicit in Nitro Spreads order-book documentation.,okx_nitro_spreads,mixed,
FX-036,spot_margin,"Open orders, order history, trade history","mobile, web, desktop",must,MVP,"Expose open orders, canceled orders, fills, trade history, and partial-fill states across products.",Binance TradingView-connected spot flow lets users manage open orders from the Binance tab and sync history.,binance_trade_external_tradingview,OKX spot mode explicitly references Open Orders and Order History; Nitro Spreads details Order History and Trade History.,"okx_spot_mode, okx_nitro_spreads",verified_public_docs,
FX-040,futures_perps,Futures and perpetual contract browser,"mobile, web, desktop",must,MVP,"Provide a browser for perps, dated futures, and eligible options with filters by underlier, expiry, quote asset, and favorite status.",Binance Futures home lists 250+ Futures & Options contracts.,binance_futures_home,"OKX Unified Account and trade docs cover perpetual, futures, and options across account modes.",okx_unified_account,verified_public_docs,
FX-041,futures_perps,Leverage selector,"mobile, web, desktop",must,MVP,Provide leverage control with maintenance/liquidation impact preview and safe confirmation.,Binance futures/trading docs discuss futures modes and risk.,"binance_futures_home, binance_hedge_mode",OKX margin/futures modes and derivatives surfaces imply leverage and margin handling.,"okx_unified_account, turn737735search7",mixed,
FX-042,futures_perps,One-way vs hedge mode,"mobile, web, desktop",must,GA-1,Allow mode visibility and switching when no blocking orders/positions exist.,Binance explicitly documents one-way vs hedge mode and switching constraints.,binance_hedge_mode,OKX copy-trading and order docs mention one-way/hedge behaviors; futures/account modes support direction management.,"okx_copy_trading, okx_basic_order_types",mixed,
FX-043,futures_perps,Cross vs isolated futures mode,"mobile, web, desktop",must,MVP,Show cross/isolated state inline and explain liquidation-scope differences.,Binance explicitly documents cross vs isolated futures/grid concepts and constraints.,"binance_futures_home, turn318551view5",OKX Unified Account modes include isolated and cross-style margin variants across derivatives.,okx_unified_account,verified_public_docs,
FX-044,futures_perps,Reduce-only,"mobile, web, desktop",must,MVP,Support reduce-only on eligible derivatives order types and visually explain when it is enforced or blocked.,Binance signal trading docs mention reduce-only in one-way mode; futures failure docs also discuss reduce-only behavior.,"binance_signal_trading, turn503021search9","OKX basic order types explicitly document reduce-only, TP/SL default reduce-only behavior, and position-page defaults.",okx_basic_order_types,verified_public_docs,
FX-045,futures_perps,TP/SL from order ticket,"mobile, web, desktop",must,MVP,Let traders attach TP/SL at order-entry or position-management time.,Binance Futures explicitly supports TP/SL strategy orders from position opening.,binance_futures_order_types,OKX basic order types and spot copy trading docs support TP/SL and trailing TP/SL.,"okx_basic_order_types, okx_spot_copy_trading",verified_public_docs,
FX-046,futures_perps,Trailing stop,"mobile, web, desktop",should,GA-1,Support trailing stop / trailing TP-SL with clear trigger semantics and risk notices.,Binance public docs reference trailing stop among futures order types.,turn503021search15,OKX basic order types and spot copy trading docs explicitly reference trailing TP/SL.,"okx_basic_order_types, okx_spot_copy_trading",verified_public_docs,
FX-047,futures_perps,Positions panel with PnL and margin metrics,"mobile, web, desktop",must,MVP,"Show size, entry, mark, liquidation, margin mode, leverage, unrealized PnL, ROE, and quick-close/TP-SL controls.",Binance Portfolio Margin info surfaces and futures UI settings imply extensive derivatives account info.,"binance_portfolio_margin, binance_futures_home",OKX trade/order docs and unified account docs imply shared trading-account derivatives monitoring.,"okx_trade_with_tradingview, okx_unified_account",mixed,
FX-048,futures_perps,Mark / index / funding panel,"mobile, web, desktop",must,MVP,"Show mark price, index price, funding rate, funding countdown, and trigger-price basis choices where applicable.",Binance TP/SL docs explicitly allow triggers on Last Price or Mark Price.,binance_futures_order_types,OKX trade surfaces need derivatives context and unified account state; funding-specific UI is standard derivatives parity.,okx_trade_with_tradingview,mixed,
FX-050,options_multi_leg,Options chain and contract discovery,"mobile, web, desktop",must,GA-1,"Provide options chain by underlier, expiry, strike, and call/put with greeks and implied volatility hooks.",Binance home and futures home publicly list options trading/contracts.,"binance_exchange_home, binance_futures_home",OKX Unified Account and options docs explicitly support options across modes; OKX Options are European options.,"okx_unified_account, okx_options",verified_public_docs,
FX-051,options_multi_leg,Simple-mode long options,"mobile, web",should,GA-1,Allow simpler account modes to buy/open long options while hiding short/seller complexity unless eligible.,No researched Binance public doc explicitly confirmed a similar simplified options-long mode.,,OKX spot mode explicitly supports options long while excluding options seller behavior.,okx_spot_mode,verified_public_docs,
FX-052,options_multi_leg,Greeks and risk panels,"web, desktop",should,GA-2,"Show greeks, implied vol, risk summary, and strategy-level exposure on pro options surfaces.",Common options-trading parity target; not explicitly verified in researched Binance public docs.,,OKX RFQ Builder includes risk analysis and greeks tables.,okx_rfq,mixed,
FX-053,options_multi_leg,Multi-leg strategy builder / RFQ,"web, desktop",should,GA-2,"Support multi-leg strategy building and, if business wants, RFQ-style quoting for block/pro flows.",No researched Binance public doc explicitly confirmed RFQ-style options builder.,,"OKX RFQ Builder supports multi-leg creation, risk analysis, greeks, counterparty selection, and anonymity options.",okx_rfq,verified_public_docs,
FX-054,options_multi_leg,Futures spreads / spread books,"web, desktop",later,GA-2,Optionally support dedicated spread-book workflows and spread-specific order entry.,Not explicitly verified in researched Binance docs.,,"OKX Nitro Spreads provides dedicated spread tiles, order books, Limit/IOC/Post-only, and post-trade views.",okx_nitro_spreads,verified_public_docs,
FX-060,bots_social,Trading bots hub,"mobile, web",should,GA-1,"Ship a first-class bots hub, not a buried settings page.",Binance has a dedicated Trading Bots page.,binance_trading_bots,OKX has a dedicated Trading Bots product and bot mode entry points.,"okx_trading_bots, okx_bot_mode",verified_public_docs,
FX-061,bots_social,Spot grid bots,"mobile, web",should,GA-1,"Support spot grid bot creation, management, and running bot detail views.",Binance publicly lists Spot Grid.,binance_trading_bots,OKX publicly lists Spot Grid and bot-mode setup flow.,"okx_trading_bots, okx_bot_mode",verified_public_docs,
FX-062,bots_social,Futures grid bots,"mobile, web",should,GA-1,"Support futures grid setup, runtime metrics, and margin controls.",Binance publicly lists Futures Grid and related margin-mode docs.,"binance_trading_bots, turn318551view5",OKX publicly lists Futures Grid and bot-mode setup flow.,"okx_trading_bots, okx_bot_mode",verified_public_docs,
FX-063,bots_social,DCA / Martingale style bots,"mobile, web",later,GA-2,Support DCA-style accumulation bots only if risk/compliance and product policy allow it.,"Binance Convert Recurring covers DCA-style recurring investment, but explicit martingale-style bots were not verified from researched public docs.",binance_convert,OKX publicly lists Futures DCA (Martingale) and Spot DCA (Martingale).,okx_trading_bots,verified_public_docs,
FX-064,bots_social,Smart arbitrage / delta-neutral bot,"mobile, web",later,GA-2,Optionally support neutral or basis-style bot templates with transparent risk messaging.,Binance publicly lists Arbitrage Bot as delta-neutral strategy to earn funding fee.,binance_trading_bots,OKX publicly lists Smart Arbitrage.,okx_trading_bots,verified_public_docs,
FX-065,bots_social,Bot marketplace,"mobile, web",later,GA-2,"Allow browsing, filtering, and copying community or curated bot parameter sets with clear risk disclosure.",Binance bot marketplace behavior appears in Binance Square/trading bot guides but not as clearly documented on main product page.,turn605084search6,OKX explicitly lists Bot Marketplace and Signal Marketplace.,okx_trading_bots,mixed,
FX-066,bots_social,Signal trading via TradingView/webhooks,"web, mobile",later,GA-2,Offer signal-driven automation via webhook integrations or curated signal strategies.,Binance documents TradingView webhook signal trading with usage limits.,binance_signal_trading,OKX documents Signal Bots integrated with TradingView/custom signal setup.,okx_signal_bots,verified_public_docs,
FX-067,bots_social,Copy trading,"mobile, web",should,GA-1,"Support discovering lead traders, copying strategies, and monitoring copied positions or orders.",Binance has a public Copy Trading product.,binance_copy_trading,"OKX documents copy trading and sub-account availability, plus spot copy trading.","okx_copy_trading, okx_spot_copy_trading",verified_public_docs,
FX-068,bots_social,Lead trader profiles and ranking surfaces,"mobile, web",later,GA-2,"Provide lead trader detail pages with performance, drawdown, style, AUM/followers where legally allowed, and risk disclosures.",Binance copy trading page exposes lead trader/copy trader concepts.,binance_copy_trading,OKX copy trading surfaces expose lead trader settings and guidelines.,"okx_copy_trading, okx_spot_copy_trading",mixed,
FX-069,bots_social,Demo trading,"mobile, web",should,GA-1,"Provide demo trading or paper mode for education and feature trial, especially for derivatives and bots.",No researched Binance public doc explicitly confirmed a consumer demo-trading surface.,,OKX explicitly documents demo trading in app and web and signal-bot use in demo trading.,"okx_demo, turn367930search7",verified_public_docs,
FX-070,security_support,Security center,"mobile, web, desktop",must,MVP,"Provide one visible security center for 2FA/passkeys, device management, login history, phishing settings, and high-risk action controls.",Binance download page promotes Authenticator and security focus.,binance_download,"OKX has passkey, hardware key, security enhancement, and unusual-activity guidance.","okx_passkey, okx_hardware_key, turn367930search2, turn367930search6",mixed,
FX-071,security_support,Passkeys and hardware security keys,"mobile, web, desktop",should,GA-1,Support passkeys on compatible platforms and hardware-security-key flows for the most sensitive actions.,Research did not verify Binance passkey support; Binance Authenticator is documented.,binance_download,OKX explicitly documents passkeys and physical security key support.,"okx_passkey, okx_hardware_key",verified_public_docs,
FX-072,security_support,Authenticator / TOTP fallback,"mobile, web, desktop",must,MVP,Support TOTP or equivalent fallback when passkeys are not available.,Binance download page promotes Binance Authenticator.,binance_download,OKX hardware-key article explicitly references traditional authenticator-app style codes.,okx_hardware_key,verified_public_docs,
FX-073,security_support,Anti-phishing and official-channel verification,"mobile, web, desktop",should,GA-1,Show anti-phishing protections and an official-channel verification entry point in-app.,Common exchange trust pattern; researched Binance docs in this session did not explicitly verify the UI.,,OKX security guides explicitly tell users to verify official channels and watch for phishing/vishing/smishing.,"turn367930search2, turn972631search3, turn367930search14",verified_public_docs,
FX-074,security_support,Notification center,"mobile, web, desktop",must,MVP,"Aggregate trading, funding, security, and compliance notifications in a single inbox with filters and read state.",Common exchange/app parity target.,,Common exchange/app parity target.,,inferred_surface_parity,
FX-075,security_support,Help center and live support entry,"mobile, web, desktop",must,MVP,"Expose help center, chatbot/live support entry, my tickets, and relevant quick tools.",Binance download page links Support Center and 24/7 chat support.,binance_download,"OKX help center explicitly includes support center, my tickets, chatbot/support, and quick tools.",turn972631search7,verified_public_docs,
FX-076,security_support,Localization and multi-region experience,"mobile, web, desktop",must,MVP,Support multi-language UI with feature-availability differences by region.,Binance public pages show many localized variants and region-specific legal disclaimers.,"binance_exchange_home, binance_download",OKX public pages show multiple regions/languages and region-specific product availability.,"okx_home, okx_download",verified_public_docs,
FX-080,unified_account_pro,Account-mode switcher,"mobile, web, desktop",should,GA-1,Expose account mode clearly and allow switching only when operationally permitted.,Binance Portfolio Margin can be activated from Futures UI and Wallet when eligible.,binance_portfolio_margin,"OKX Unified Account exposes Spot, Spot and futures, Multi-currency margin, and Portfolio margin modes in settings.",okx_unified_account,verified_public_docs,
FX-081,unified_account_pro,Unified account dashboard,"mobile, web, desktop",should,GA-1,Show one portfolio-level dashboard when product mode allows shared balances and offsets.,Binance Portfolio Margin UI exposes portfolio information and shared account concepts.,binance_portfolio_margin,OKX Unified Account is built around one account trading spot and derivatives simultaneously in multiple currencies.,okx_unified_account,verified_public_docs,
FX-082,unified_account_pro,Portfolio margin / advanced margin dashboard,"web, desktop",should,GA-2,"Provide advanced portfolio-margin visibility including adjusted equity, margin usage, debt, and risk summaries.",Binance Portfolio Margin UI shows UniMMR/adjusted-equity style info when enabled.,binance_portfolio_margin,OKX Unified Account portfolio margin mode supports cross-product offsets and advanced account modes.,"okx_unified_account, turn737735search1, turn737735search19",mixed,
FX-083,unified_account_pro,API management center,"web, desktop",should,GA-2,"Provide API key creation, permission scopes, IP allowlisting entry, key rotation UX, and high-risk confirmations.",Binance public pages promote API and Margin Special API Key behavior.,"binance_download, binance_margin_api",OKX public pages prominently list APIs and institutional solutions.,okx_home,verified_public_docs,
FX-084,unified_account_pro,Self-trade prevention visibility,"web, desktop",later,GA-2,"Where STP is enforced, show STP mode or STP-cancel reason in order history and activity detail.",No researched Binance public doc explicitly verified STP visibility.,,OKX explicitly documents mandatory STP and that STP-canceled orders can be found in Order history and via API.,okx_stp,verified_public_docs,
FX-085,unified_account_pro,Institutional / pro RFQ and counterparties,"web, desktop",later,GA-2,"If institutional workflows are in scope, provide RFQ counterparty selection, anonymous RFQ option, and strategy risk preview.",No researched Binance public doc explicitly confirmed a similar public RFQ workflow.,,"OKX RFQ Builder supports counterparty selection, anonymous RFQ, risk analysis, and greeks.",okx_rfq,verified_public_docs,
